1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
594358,3624144,0,416192,3375548,286000,359508,875000,5285834,3307
915179,1356528,0,405199,2604520,704600,318079,948000,6822518,2880
583802,1429412,0,609204,6658042,855400,492779,640000,6594121,9128
355524,550256,0,683086,3687438,1029600,423773,1419000,7075685,8418
534528,636044,0,862294,3303968,1333800,387710,1480000,9608591,2990
597550,1414568,0,417725,2425568,1027000,277024,694000,7961914,11763
360376,593224,0,548872,3183304,546000,328187,3249000,7468639,7200
405528,2710536,0,524585,2913342,624000,1586778,1996000,6911329,5335
548962,736968,0,878911,3495192,642200,1119080,1850000,3997316,5773
349747,534548,0,970176,5612962,1601600,892968,1762000,5186222,4541
427021,683164,0,754667,4245768,699400,331057,2179000,4586383,996
564488,855028,0,890159,4782624,262600,497521,1579000,0,3522
333451,879708,0,835962,5894172,249600,556420,593000,4456619,8086
344092,511124,0,634258,2656672,860600,591485,772000,5097814,6867
347669,647304,0,465531,4204864,660400,457590,1283000,8899100,5095
225787,531940,0,573669,3421566,834600,322696,8000,3750458,7089
379883,545276,0,310354,5274488,1398800,334676,5964000,10417737,37163
277262,0,0,369153,3767198,634400,388458,4328000,9277437,20049
430991,0,0,433831,3748792,166400,322322,6649000,7956641,27592
1010730,588172,0,420538,2710870,189800,236843,2156000,0,7748
979312,844804,0,141117,1536944,1086800,124411,4438000,0,19107
616955,575640,0,313166,3304990,44200,173078,4991000,0,6018
799751,752008,0,430508,4207932,3159000,232975,9110000,0,2114
422745,988764,0,528420,2228210,2901600,377727,4509000,0,0
303271,1383828,0,0,0,2909400,0,4853000,0,10420
299181,1110160,0,749298,2641334,364000,338419,3087000,5115457,1550
339876,2038780,0,491096,4399156,2199600,505258,2426000,0,10717
257320,1991604,0,748531,5738740,2857400,618314,3693000,3794125,1949
262240,1415664,0,686154,5780666,3957200,709408,5782000,5045967,15672
401327,929624,0,514360,4656846,2082600,473562,15934000,4133720,2818
473712,804940,0,387815,1927570,2046200,307722,11961000,3396954,0
248543,959504,0,423605,2552370,2462200,340790,7503000,0,4812
251820,663456,0,418748,3497236,6198400,383342,7721000,5999595,2431
300050,1232496,0,239285,4157826,5101200,410920,21847000,5952462,6686
331324,3170280,0,427440,4922718,3361800,465202,11082000,4100096,15113
423151,1102948,0,320069,4516752,4643600,217127,5493000,3481574,7587
324997,756316,0,393695,3674144,3699800,463954,5466000,5681675,1661
264340,639344,0,406733,3694596,3900000,501265,3677000,6973401,3314
258508,325628,0,809375,6786888,2919800,576760,4062000,5217039,0
220121,1284556,0,394973,4455398,3390400,348901,3474000,7159921,598
264706,1635376,0,643716,4904312,3372200,355140,1499000,6257823,11520
224889,1236936,0,1855734,16451328,1957800,1282051,3877000,0,9304
230892,887296,0,559098,7662220,1674400,463579,8199000,5928380,1550
148404,725576,0,816022,6640658,3957200,590736,3735000,4121549,1772
377630,1178920,0,631957,3974784,4802200,504135,0,4870003,4627
443263,3147404,0,441756,4260084,4797000,460460,3894000,3334048,13538
402718,0,0,507457,4340868,1765400,381096,4089000,8845658,6836
1171126,2343832,0,283000,3303968,2878200,460709,7223000,5340452,2680
396371,1178600,0,303196,3449176,1674400,377976,5000000,5341157,8224
351298,682116,0,728847,7488380,1118000,469444,3236000,6332473,17304
413964,732432,0,377845,3297832,0,315209,2727000,4618164,2553
360042,7255552,0,242608,3299878,2402400,207019,2122000,4870371,110
601788,2175088,0,390883,3995234,3549000,458214,4110000,8849567,2351
614698,0,0,495697,4597536,3112200,349525,2742000,8636810,9326
383713,709088,0,430763,3911382,3881800,352645,4233000,8925641,221
416776,535192,0,531999,5306188,2961400,541571,1843000,5246288,1993
680014,718484,0,542992,6776662,2428400,313961,2988000,6031031,941
932560,805200,0,444568,4831708,2007200,321323,4249000,11309236,19297
697690,344936,0,484960,5896218,1853800,567651,6548000,10037186,11958
491198,410052,0,526886,5393106,2139800,386087,2944000,9817620,12311
554381,764176,0,289136,4128170,3512600,387460,4451000,7990504,8219
447372,0,0,71325,830338,1752400,92591,19034000,9113651,12439
484508,747804,0,99191,1363104,1346800,125285,4002000,6745514,16236
415947,661940,0,66724,617640,2891200,43175,7679000,7797671,10390
556386,371816,0,59821,792502,3546400,60396,7007000,16638530,8447
435688,313996,0,174606,1642270,2145000,117673,4333000,5720794,15718
313980,838632,0,143929,1349810,2670200,92341,4781000,7232030,12295
636219,792112,0,123221,967364,12186200,60146,2583000,6315618,5775
756280,461828,0,172305,1088030,4227600,148245,3068000,5473155,7864
580979,597880,0,181764,1049170,4823000,285759,9430000,4192641,3809
422865,407112,0,126289,596166,3897400,515490,3431000,0,14732
1086356,640064,0,67746,324160,1835600,210638,2385000,0,3169
497484,2403860,0,41670,283256,3853200,114553,3443000,3517006,16454
369458,956668,0,112740,830338,1549600,260677,5800000,2594633,9803
362813,804360,0,105582,644228,4006600,248573,5075000,1911564,7545
781589,871992,0,89476,1075758,4661800,141008,5173000,0,10696
530840,611408,0,234427,1065532,2103400,208143,5384000,3623090,9174
434587,818896,0,155944,1022584,1721200,216503,5486000,5738196,7666
295257,925900,0,160290,912144,2919800,334800,5175000,12989676,3965
709672,682632,0,171283,1228124,4864600,874375,4176000,0,7742
596357,812136,0,141883,1019516,4310800,320076,3451000,5245172,17125
621035,740816,0,72859,560376,3281200,141881,1567000,5565234,25388
448540,501848,0,0,0,2509000,0,1381000,5485890,22486
751304,780560,0,0,0,3549000,0,1677000,6397564,10190
503932,447264,0,0,0,4152200,0,544000,8139365,10301
701281,639100,0,84363,877376,4646200,97083,1857000,4754631,12562
395878,825216,0,62122,782276,1757600,100078,1232000,7725745,12727
534831,1507620,0,0,0,267800,0,813000,19488108,6018
362255,417368,0,0,0,613600,0,1115000,15938393,6036
497867,458496,56,105582,1534898,488800,96833,1234000,11738417,3039
735980,710952,0,131402,1938818,460200,119295,867000,5397691,16227
657504,924092,0,149042,1302772,980200,163968,854000,6775378,5532
454377,528400,0,408522,1725098,639600,192420,842000,10237516,4098
406968,438168,0,213464,1117684,579800,216628,1035000,7698804,1485
532914,844972,20,107627,1197446,748800,182936,1079000,5091081,5150
630664,480412,0,195058,1263914,312000,215630,908000,4313716,6424
321110,531724,0,161824,872264,330200,172204,943000,9064800,3939
475431,381116,0,132169,970432,189800,91717,2257000,10194391,9304
438845,898352,0,103025,576738,293800,97707,2835000,3749634,9969
444540,570564,0,134470,885558,546000,115177,2415000,7105267,8100
342492,601448,0,205795,962252,436800,133146,922000,4883426,886
355605,661352,0,195825,1071668,218400,151864,1037000,4247123,4873
