1COV.DE_Volume,ADS.DE_Volume,AIR.DE_Volume,ALV.DE_Volume,BAS.DE_Volume,BMW.DE_Volume,CBK.DE_Volume,DTE.DE_Volume,EOAN.DE_Volume,HEI.DE_Volume
220,140,27,3548,1168,459,10020,3715,4317,434
343,310,103,1198,382,1166,13085,5860,17617,242
49,1075,32,589,56,653,17328,8963,3984,2474
109,114,169,476,5359,2040,6760,743,4793,120
2351,249,303,3051,3708,1412,3413,2072,600,416
156,255,175,3633,1608,553,11776,19598,27980,386
59,404,70,2581,1283,787,11305,4844,12474,330
109,192,175,1896,621,342,13392,5001,18221,521
8,252,148,3755,918,1549,14211,4837,11193,295
158,199,84,1740,3805,460,17060,2274,10576,146
623,270,1070,1723,802,195,3286,3759,14795,319
1838,161,6,1259,3524,379,2527,2899,147253,652
1624,155,24,385,2623,587,11247,12972,67900,289
29,237,50,50,22,259,3405,13725,10768,1021
2771,613,803,1000,3006,1215,1255,5369,8793,514
7471,0,162,376,1009,620,22034,64,70161,216
283,154510,83,2240,1244,526,1313,9448,17078,7
197,38,77,1623,5119,1531,278,1661,1881,328
2234,173,187,434,1306,538,8196,1366,3569,583
148,974,304,596,858,249,9918,13434,6208,178
1,1581,87,957,1368,2887,3644,38063,3326,436
400,1360,206,1943,41,386,2040,122185,9781,235
109,341,25,749,2357,2031,13376,155867,24110,538
958,184,553,6499,1974,178,5754,0,3680,114
151,183,83,1525,3421,1648,1421,350255,2224,394
143,706,38,257,1416,2353,16840,12159,8000,383
134,124,561,1098,885,1671,269,21969,1022,126
160,142,623,275,12358,678,9665,28453,26116,72
616,734,293,897,1625,1940,1627,140163,873,520
73,16,22,0,5254,2149,6280,20033,6913,319
422,352,1603,554118,1259,677,1531,47561,13753,416
35,30,29,227,514,13895,907,24862,26951,676
22,156,114,481,6823,8225,577,50487,6110,207
1173,117,276,247,678,3976,4152,68053,46224,51
350,213,281,681,5118,392,1914,75883,81078,26
54,269,31,2727,1091,2180,1503,24288,36821,726
102,629,341,293,268,1493,5973,26843,4920,144
679,457,254,1014,96,394,1217,4216,6694,902
22,744,10,400,2371,1069,3787,20623,23226,596
674,284,141,1961,189,45,6669,42372,498,206
275,2049,73,288,625,2869,6503,17741,9214,292
153,386,82,242,373,1728,4476,32736,7318,997
150,1165,522,420,7063,2652,12080,11214,750,327
255,900,83,1012,3950,1804,36302,22730,9678,1191
87,1875,223,905,2822,890,54536,13111,5231,960
36,708,330,713,1290,2394,15379,5278,2298,0
14,200,214,569,4758,1614,25141,3736,7616,498
37,516,1000,378,1794,180,19006,7505,337,0
303,4630,200,455,12811,1211,13003,16102,24918,4661
294,197,1264,439,3545,582,50700,39520,1964,325
38,4655,541,2163,1962,498,55539,67277,3844,36
219,1146,37,1875,5252,596,7413,4616,12902,783
205,932,1857,340,2355,473,55208,20335,200,451
353,17,15,3225,1629,3159,32919,9127,8763,281
152,491,124,1111,1428,2858,4486,9716,200,975
389,652,374,1568,294,1366,2699,22084,19700,176
109,638,28,928,1387,506,1287,6756,5267,1819
26,3900,82,2050,14956,652,8811,8843,1134,276
50,115,82,2169,310,713,2294,27829,2108,390
453,477,20,2973,3022,1944,4321,3145,2286,586
155,909,62,53,1533,44,7953,8592,13203,1686
309,30,982,252,15734,2236,1280,9984,3514,591
1007,265,84,45,4651,1290,3648,3782,8230,100
431,2058,254,24175,1735,524,13940,10048,16560,424
439,1822,153,1131,1393,488,1324,7398,23541,1197
600,624,247,0,1625,2832,9483,3876,8716,268
28,734,40,28616,420,329,6938,7817,2823,263
52,1132,490,1422,4448,326,5275,4810,2091,78
540,242,673,4698,1821,875,26211,35878,4420,753
