,,,,,,,,,
,15.176,11.085,25.178,2.845,2.655,4.158,0.763,12.297,0.038
,24.687,0.474,21.687,5.91,2.328,8.014,0.706,1.703,0.047
,32.098,2.802,23.629,0.259,2.452,11.168,0.911,0.735,0.066
,84.948,0.015,45.724,0.14,2.072,14.19,0.555,0.421,0.058
,92.358,0.007,40.505,0.24,2.127,7.618,2.23,0.344,0.069
,161.356,0.056,39.34,0.632,2.006,5.023,1.582,0.592,0.066
,104.914,0.026,34.081,0.875,1.873,9.993,1.298,0.735,0.1
,64.871,0.051,28.183,0.975,1.878,11.804,1.001,5.171,0.106
,127.69,0.017,40.398,19.612,1.968,5.589,1.215,1.31,0.097
,133.863,0.018,32.627,0.447,1.915,10.1,0.963,2.397,0.061
,73.996,0.015,40.893,3.877,2.726,33.389,0.893,21.618,0.045
,17.688,0.012,27.284,5.664,1.691,0.804,0.506,1.553,0.035
,0.704,17.768,38.37,0.175,26.222,0.343,5.595,1.214,0.009
,0.263,6.241,42.187,0.175,9.731,0.397,15.504,1.166,0.006
,0.095,6.117,41.636,0.143,10.233,0.513,6.19,0.647,0.009
,0.141,5.575,44.699,0.166,10.325,0.495,1.082,0.666,0.007
,0.196,4.972,139.895,0.234,9.527,0.597,0.6,0.732,0.013
,0.796,4.587,104.465,0.892,12.154,0.647,0.226,0.826,0.022
,1.133,3.82,67.192,1.5,13.237,0.492,0.67,0.798,0.019
,1.144,8.178,33.421,1.471,12.214,0.408,3.412,1.064,0.027
,0.517,6.129,15.944,2.533,11.025,0.32,9.771,1.123,0.032
,0.815,5.833,10.362,2.932,10.376,0.336,1.53,1.332,0.022
,10.955,11.002,14.156,0.52,9.479,0.15,1.706,1.488,0.034
,5.237,7.808,37.501,3.029,8.823,0.119,3.017,1.695,14.977
,8.963,2.417,84.757,0.252,8.296,2.503,5.816,1.878,0.017
,7.056,1.061,130.968,0.286,7.832,1.171,3.607,2.085,0.031
,28.697,3.085,102.319,0.194,7.569,1.493,3.63,2.336,0.022
,10.703,1.42,67.494,0.397,7.274,1.94,6.281,2.394,0.042
,1.408,0.012,70.159,0.553,7.154,1.397,1.815,2.857,0.039
,2.536,0.035,107.676,0.679,7,1.262,2.006,3.516,0.021
,2.639,3.497,75.303,0.747,6.907,1.58,1.903,3.402,0.024
,2.658,2.095,29.004,1.174,6.796,1.994,1.845,3.508,0.023
,2.57,1.711,46.466,1.432,6.778,1.544,0.681,3.976,0.024
,0.159,2.069,98.392,1.352,44.133,22.363,0.397,4.267,0.086
,0.027,2.547,90.734,1.348,3.991,0.592,0.366,4.439,0.009
,7.77,2.633,90.008,1.258,3.777,1.011,0.852,4.502,0.004
,0.634,2.695,97.105,1.312,4.749,0.933,1.241,4.79,0.002
,0.975,2.766,150.452,1.181,3.413,0.872,0.661,4.892,0.052
,0.37,2.475,138.959,2.111,3.191,0.687,2.018,5.008,0.004
,0.367,2.489,208.216,0.086,2.186,0.688,2.335,5.364,0.024
,0.216,2.485,214.53,0.117,1.945,0.784,2.791,5.729,0.03
,0.183,2.321,119.153,0.084,1.736,5.642,2.766,5.824,0.014
,0.1,2.175,119.521,0.12,1.744,12.561,4.863,5.719,0.012
,0.059,1.964,115.594,0.097,1.591,7.444,4.999,5.784,0.011
,0.017,1.859,67.038,0.094,1.594,8.444,1.584,6.086,0.189
,0.049,1.72,16.801,0.095,1.618,11.086,0.819,6.045,0.004
