time,acc,light,moderate-vigorous,sedentary,sleep,MET
2014-05-14 11:39:03.160000+0100 [Europe/London],29.081,0,0,1,0,1.56349206349206
2014-05-14 11:39:33.160000+0100 [Europe/London],31.139,0,0,1,0,1.56349206349206
2014-05-14 11:40:03.160000+0100 [Europe/London],30.215,0,0,1,0,1.56349206349206
2014-05-14 11:40:33.160000+0100 [Europe/London],29.618,0,0,1,0,1.56349206349206
2014-05-14 11:41:03.160000+0100 [Europe/London],30.866,0,0,1,0,1.56349206349206
2014-05-14 11:41:33.160000+0100 [Europe/London],30.74,0,0,1,0,1.56349206349206
2014-05-14 11:42:03.160000+0100 [Europe/London],25.823,0,0,1,0,1.56349206349206
2014-05-14 11:42:33.160000+0100 [Europe/London],25.921,0,0,1,0,1.56349206349206
2014-05-14 11:43:03.160000+0100 [Europe/London],21.07,0,0,1,0,1.56349206349206
2014-05-14 11:43:33.160000+0100 [Europe/London],27.97,0,0,1,0,1.56349206349206
2014-05-14 11:44:03.160000+0100 [Europe/London],27.59,0,0,1,0,1.56349206349206
2014-05-14 11:44:33.160000+0100 [Europe/London],23.97,0,0,1,0,1.56349206349206
2014-05-14 11:45:03.160000+0100 [Europe/London],27.67,0,0,1,0,1.56349206349206
2014-05-14 11:45:33.160000+0100 [Europe/London],28.671,0,0,1,0,1.56349206349206
2014-05-14 11:46:03.160000+0100 [Europe/London],24.377,0,0,1,0,1.56349206349206
2014-05-14 11:46:33.160000+0100 [Europe/London],29.644,0,0,1,0,1.56349206349206
2014-05-14 11:47:03.160000+0100 [Europe/London],24.502,0,0,1,0,1.56349206349206
2014-05-14 11:47:33.160000+0100 [Europe/London],24.33,0,0,1,0,1.56349206349206
2014-05-14 11:48:03.160000+0100 [Europe/London],27.916,0,0,1,0,1.56349206349206
2014-05-14 11:48:33.160000+0100 [Europe/London],28.337,0,0,1,0,1.56349206349206
2014-05-14 11:49:03.160000+0100 [Europe/London],35.595,0,0,1,0,1.56349206349206
2014-05-14 11:49:33.160000+0100 [Europe/London],32.914,0,0,1,0,1.56349206349206
2014-05-14 11:50:03.160000+0100 [Europe/London],34.032,0,0,1,0,1.56349206349206
2014-05-14 11:50:33.160000+0100 [Europe/London],39.873,0,0,1,0,1.56349206349206
2014-05-14 11:51:03.160000+0100 [Europe/London],45.567,0,0,1,0,1.56349206349206
2014-05-14 11:51:33.160000+0100 [Europe/London],33.005,0,0,1,0,1.56349206349206
2014-05-14 11:52:03.160000+0100 [Europe/London],31.317,0,0,1,0,1.56349206349206
2014-05-14 11:52:33.160000+0100 [Europe/London],35.27,0,0,1,0,1.56349206349206
2014-05-14 11:53:03.160000+0100 [Europe/London],48.19,0,0,1,0,1.56349206349206
2014-05-14 11:53:33.160000+0100 [Europe/London],44.525,0,0,1,0,1.56349206349206
2014-05-14 11:54:03.160000+0100 [Europe/London],6.023,0,0,1,0,1.56349206349206
2014-05-14 11:54:33.160000+0100 [Europe/London],2.086,0,0,1,0,1.56349206349206
2014-05-14 11:55:03.160000+0100 [Europe/London],12.525,0,0,1,0,1.56349206349206
2014-05-14 11:55:33.160000+0100 [Europe/London],11.559,0,0,1,0,1.56349206349206
2014-05-14 11:56:03.160000+0100 [Europe/London],1.286,0,0,1,0,1.56349206349206
2014-05-14 11:56:33.160000+0100 [Europe/London],8.628,0,0,1,0,1.56349206349206
2014-05-14 11:57:03.160000+0100 [Europe/London],1.113,0,0,1,0,1.56349206349206
2014-05-14 11:57:33.160000+0100 [Europe/London],13.103,0,0,1,0,1.56349206349206
2014-05-14 11:58:03.160000+0100 [Europe/London],18.435,0,0,1,0,1.56349206349206
2014-05-14 11:58:33.160000+0100 [Europe/London],17.266,0,0,1,0,1.56349206349206
2014-05-14 11:59:03.160000+0100 [Europe/London],19.235,0,0,1,0,1.56349206349206
2014-05-14 11:59:33.160000+0100 [Europe/London],25.817,0,0,1,0,1.56349206349206
2014-05-14 12:00:03.160000+0100 [Europe/London],25.623,0,0,1,0,1.56349206349206
2014-05-14 12:00:33.160000+0100 [Europe/London],32.436,0,0,1,0,1.56349206349206
2014-05-14 12:01:03.160000+0100 [Europe/London],19.529,0,0,1,0,1.56349206349206
2014-05-14 12:01:33.160000+0100 [Europe/London],1.864,0,0,1,0,1.56349206349206
2014-05-14 12:02:03.160000+0100 [Europe/London],17.768,0,0,1,0,1.56349206349206
2014-05-14 12:02:33.160000+0100 [Europe/London],29.146,0,0,1,0,1.56349206349206
2014-05-14 12:03:03.160000+0100 [Europe/London],89.449,0,0,1,0,1.56349206349206
2014-05-14 12:03:33.160000+0100 [Europe/London],31.46,0,0,1,0,1.56349206349206
2014-05-14 12:04:03.160000+0100 [Europe/London],46.865,0,0,1,0,1.56349206349206
2014-05-14 12:04:33.160000+0100 [Europe/London],29.757,0,0,1,0,1.56349206349206
2014-05-14 12:05:03.160000+0100 [Europe/London],60.117,1,0,0,0,2.27083333333333
2014-05-14 12:05:33.160000+0100 [Europe/London],91.256,1,0,0,0,2.27083333333333
2014-05-14 12:06:03.160000+0100 [Europe/London],74.648,1,0,0,0,2.27083333333333
2014-05-14 12:06:33.160000+0100 [Europe/London],121.723,1,0,0,0,2.27083333333333
2014-05-14 12:07:03.160000+0100 [Europe/London],106.82,1,0,0,0,2.27083333333333
2014-05-14 12:07:33.160000+0100 [Europe/London],15.999,1,0,0,0,2.27083333333333
2014-05-14 12:08:03.160000+0100 [Europe/London],22.527,1,0,0,0,2.27083333333333
2014-05-14 12:08:33.160000+0100 [Europe/London],9.358,1,0,0,0,2.27083333333333
2014-05-14 12:09:03.160000+0100 [Europe/London],0.755,1,0,0,0,2.27083333333333
2014-05-14 12:09:33.160000+0100 [Europe/London],25.496,1,0,0,0,2.27083333333333
2014-05-14 12:10:03.160000+0100 [Europe/London],46.112,1,0,0,0,2.27083333333333
2014-05-14 12:10:33.160000+0100 [Europe/London],79.8,1,0,0,0,2.27083333333333
2014-05-14 12:11:03.160000+0100 [Europe/London],56.18,1,0,0,0,2.27083333333333
2014-05-14 12:11:33.160000+0100 [Europe/London],48.81,1,0,0,0,2.27083333333333
2014-05-14 12:12:03.160000+0100 [Europe/London],48.792,1,0,0,0,2.27083333333333
2014-05-14 12:12:33.160000+0100 [Europe/London],19.056,1,0,0,0,2.27083333333333
2014-05-14 12:13:03.160000+0100 [Europe/London],22.072,1,0,0,0,2.27083333333333
2014-05-14 12:13:33.160000+0100 [Europe/London],48.632,1,0,0,0,2.27083333333333
2014-05-14 12:14:03.160000+0100 [Europe/London],68.273,1,0,0,0,2.27083333333333
2014-05-14 12:14:33.160000+0100 [Europe/London],27.733,1,0,0,0,2.27083333333333
2014-05-14 12:15:03.160000+0100 [Europe/London],14.566,1,0,0,0,2.27083333333333
2014-05-14 12:15:33.160000+0100 [Europe/London],63.554,1,0,0,0,2.27083333333333
2014-05-14 12:16:03.160000+0100 [Europe/London],63.25,1,0,0,0,2.27083333333333
2014-05-14 12:16:33.160000+0100 [Europe/London],71.043,1,0,0,0,2.27083333333333
2014-05-14 12:17:03.160000+0100 [Europe/London],62.88,1,0,0,0,2.27083333333333
2014-05-14 12:17:33.160000+0100 [Europe/London],74.466,1,0,0,0,2.27083333333333
2014-05-14 12:18:03.160000+0100 [Europe/London],50.093,1,0,0,0,2.27083333333333
2014-05-14 12:18:33.160000+0100 [Europe/London],100.9,1,0,0,0,2.27083333333333
2014-05-14 12:19:03.160000+0100 [Europe/London],23.931,1,0,0,0,2.27083333333333
2014-05-14 12:19:33.160000+0100 [Europe/London],24.768,1,0,0,0,2.27083333333333
2014-05-14 12:20:03.160000+0100 [Europe/London],15.061,1,0,0,0,2.27083333333333
2014-05-14 12:20:33.160000+0100 [Europe/London],14.06,0,0,1,0,1.56349206349206
2014-05-14 12:21:03.160000+0100 [Europe/London],17.729,0,0,1,0,1.56349206349206
2014-05-14 12:21:33.160000+0100 [Europe/London],19.987,0,0,1,0,1.56349206349206
2014-05-14 12:22:03.160000+0100 [Europe/London],16.378,0,0,1,0,1.56349206349206
2014-05-14 12:22:33.160000+0100 [Europe/London],5.187,0,0,1,0,1.56349206349206
2014-05-14 12:23:03.160000+0100 [Europe/London],9.567,0,0,1,0,1.56349206349206
2014-05-14 12:23:33.160000+0100 [Europe/London],8.957,0,0,1,0,1.56349206349206
2014-05-14 12:24:03.160000+0100 [Europe/London],21.228,1,0,0,0,2.27083333333333
2014-05-14 12:24:33.160000+0100 [Europe/London],36.982,1,0,0,0,2.27083333333333
2014-05-14 12:25:03.160000+0100 [Europe/London],25.821,1,0,0,0,2.27083333333333
2014-05-14 12:25:33.160000+0100 [Europe/London],40.731,1,0,0,0,2.27083333333333
2014-05-14 12:26:03.160000+0100 [Europe/London],65.454,1,0,0,0,2.27083333333333
2014-05-14 12:26:33.160000+0100 [Europe/London],62.789,1,0,0,0,2.27083333333333
2014-05-14 12:27:03.160000+0100 [Europe/London],49.693,1,0,0,0,2.27083333333333
2014-05-14 12:27:33.160000+0100 [Europe/London],34.28,1,0,0,0,2.27083333333333
2014-05-14 12:28:03.160000+0100 [Europe/London],21.294,1,0,0,0,2.27083333333333
2014-05-14 12:28:33.160000+0100 [Europe/London],26.586,1,0,0,0,2.27083333333333
2014-05-14 12:29:03.160000+0100 [Europe/London],61.536,1,0,0,0,2.27083333333333
2014-05-14 12:29:33.160000+0100 [Europe/London],99.995,1,0,0,0,2.27083333333333
2014-05-14 12:30:03.160000+0100 [Europe/London],87.842,1,0,0,0,2.27083333333333
2014-05-14 12:30:33.160000+0100 [Europe/London],62.405,1,0,0,0,2.27083333333333
2014-05-14 12:31:03.160000+0100 [Europe/London],12.554,1,0,0,0,2.27083333333333
